name,geoid,sites,pop,area,pop_density,total
charlotte,37119980300,14,27,0.478856,56.384382778956514,248.2957037037037
dc,11001980000,85,13,6.514228,1.9956317156844985,42593.029230769236
la,06037980019,11,77,44.210349,1.741673652022064,6315.764142857142
la,06037980009,36.00000000000001,5,20.906742,0.23915730150589698,150528.54240000003
nyc,36005033400,34,13,3.067606,4.237832368302839,8022.969538461539
nyc,36061014300,46,1,2.992159,0.33420683860717293,137639.314
philadelphia,42101980002,14,50,5.919457,8.446720704280814,1657.4479600000002
phoenix,04013116733,11,12,64.322002,0.1865613573408365,58961.835166666664
san_diego,06073006200,17,46,3.629217,12.674910318120961,1341.2323695652174
san_francisco,06075980300,47.00000000000001,32,4.337505,7.377513109494974,6370.710468750001
